Conference|Year|Title|Authors|Keywords|Abstract|Category|Decision|Raw Decision
MSR|2015|Global vs. Local Models for Cross-project Defect Predicton|steffen herbold,alexander trautsch,jens grabowski|local models,defect prediction,cross-project|Altough significant effort has been spent by reseachers, the performance of defect prediction in a cross-project setting, i.e. with data that does not come from the same project context, is still unsatisfactory. A recent proposal for the improvement of defect predictions are local models. With local models, the available data is first clustered into homogenuous regions and afterwards separate predictors are trained for each homogenuous region. Since the main problem of cross-project defect prediction is data heterogenity, the idea of local models is promising. However, the past studies only focused on the within-project context and did not yet consider the cross-project context. Within this paper, we apply local models for cross-project defect prediction. In a large case study, we evalute the performance of local models and evaluate their advantages and drawbacks for cross-project predictions.|Research Paper|reject|reject
MSR|2015|Partitioning Composite Code Changes to Facilitate Code Review|yida tao,sunghun kim|Software code changes,Code review,Code analysis|Developers expend significant effort on reviewing source code changes, hence the comprehensibility of code changes directly affects development productivity. Our recent study has suggested that composite code change, which mix multiple development issues together, are typically difficult to review. Unfortunately, our manual inspection of 453 open source code changes reveals a non-trivial occurrence (up to 29%) of such composite changes. In this paper, we propose a heuristic-based approach to automatically partition composite changes, such that each sub-changes in the partition is more cohesive and self-contained. Our quantitative and qualitative evaluation results are promising in demonstrating the potential benefits of our approach for facilitating the code review process of composite code changes.|Research Paper|accept|accept
MSR|2015|The More the Merrier? Assessing the Effect of Multiple Developers and Revisions on Software  Artefacts|marco moscatiello,andrea capiluppi,lerina aversano,maria tortorella|Software processes,Change patterns,Structural quality,Open Source development|The types of interaction between software developers have been extensively studied, as well as evaluating the stability, quality and reusability of source code using metrics. The objective of this research is to add a third dimension to  the debate, and to compare the structural attributes of code resulting from collaborating authors, with the same attributes developed by single developers. To achieve this comparison, we propose a case study for which all the atomic revisions of a Java software system are analysed; the number of developers, per revision and OO class, is also analysed, to define whether each revision is single- or multi-authored. We cluster the source code in either: (i) single-authored with one revision; (ii) single-authored with many revisions; or (iii) multi-authored with many revisions. We found that the attributes of the OO classes change based on the number of authors working on them, and on the number of revisions: classes modified just once are in general smaller than those modified several times and by more authors. More importantly, the presence of more developers is related to a higher chance to observe fluctuations in the structural metrics: what's more important, not always classes modified by more developers show more structural quality.|Practice Paper|reject|reject
MSR|2015|Matching GitHub developer profiles to job advertisments|claudia hauff,georgios gousios|social coding,github,job recommendation|GitHub is a social coding platform that enables developers to efficiently work on projects, connect with other developers, collaborate and generally ``be seen'' by the community. This visibility also extends to prospective employers and HR personel who may use GitHub to learn more about a developer's skills and interests. We propose a pipeline that automatizes this process and automatically suggests matching job advertisements to developers, based on signals extracting from their activities on GitHub.|Research Paper|accept|accept
MSR|2015|Classification and theme detection for Github software repositories|konstantin tyapochkin,sergey nikolenko,alexey smirnov|GitHub,repository classification,repository theme detection,mining software repositories|Github is the most popular software repository hosting, containing millions of repositories. The git repositories on Github are supplemented with textual information such as repository descriptions and readme files. In this work, we tackle the problem of automatically classifying repositories with respect to their main themes (e.g., machine learning, gamedev, or bioinformatics) and technologies used in the repository (e.g. adobe flash, google api or video processing). In this study we propose a method for detecting key words and word combinations from repository descriptions at Github automatically, without a labeled data set and using expert evaluation only for already detected keywords. This method allows to classify repositories to a hierarchy of several wide themes further subdivided into numerous more narrow themes, understand which repositories are created only for testing and self-education purposes, and uncover popular currently trending areas of development.|Research Paper|reject|reject
MSR|2015|Summarizing Complex Development Artifacts by Mining Heterogenous Data|luca ponzanelli,andrea mocci,michele lanza|summarization,heterogeneous data,stack overflow|Summarization is hailed as a promising approach to reduce the amount of information that must be taken in by the person who wants to understand development artifacts, such as pieces of code, bug reports, emails, etc. However, existing approaches treat artifacts as pure textual entities, disregarding the heterogeneous and partially structured nature of most artifacts, which contain intertwined pieces of distinct type, such as source code, diffs, stack traces, human language, etc. We present a novel approach to augment existing summarization techniques (such as LexRank) to deal with the heterogeneous and multidimensional nature of complex artifacts. Our preliminary results on heterogeneous artifacts suggest our approach outperforms the current text-based approaches.|Research Paper|accept|accept
MSR|2015|Software Remodularization Recommenders: Are we Going in the Right Direction?|ivan candela,gabriele bavota,barbara russo,rocco oliveto|software remodularization,empirical study,recommenders|Design erosion plagues a lot of software systems. Refactoring, and in particular, remodularization operations can be performed to repair the design of a software system and remove the erosion caused by software evolution. Various approaches have been proposed to support developers during the remodularization of a software system. Such approaches are based on the underlying assumption that developers pursue an optimal balance between quality metrics, such as cohesion and coupling. Thus, a remodularization recommender proposes a solution that implicitly provides a (near) optimal balance between such quality metrics. However, there is still a lack of empirical evidence that such a balance is actually pursued by developers when designing and evolving their software systems. This paper presents a large study that aims at finding empirical evidence of the assumption  which remodularization approaches proposed so far are based on. The analysis involved 100 Java open-source software systems and the results achieved have been used to distill a set of lesson learned that should be considering to design effective remodularization recommenders.|Research Paper|reject|reject
MSR|2015|Structured Gotos are (Slightly) Harmful|yossi gil,eli sennesh|unstructured jumps,evidence-based language design,empirical defect measurement|The GOTO keyword is traditionally "considered harmful," so much so that programming languages should simply do without it.  We take an evidence-based approach to this issue by counting unstructured jumps in Java code as a software-evolution metric and examining the evolution of 26 open-source code corpora in relation to that metric.  We compare unstructured jumps with code length in tokens and compressed size as statistical predictors of defect proneness.  Our results show that the unstructured-jump metric has predictive power independent of code size.|Research Paper|reject|reject
MSR|2015|Using Big Data and Data Mining Techniques on GitHub Archives to improve Task Assignment Process|shahab bayati|GitHub Mining,Big Data,Recommender System,Clustering,Task Assignment|The available data in online software engineering repositories contain valuable and actionable information which can be discovered through MSR processes. As these repositories get bigger in sizes and the types of data gets more complex, the Big Data techniques can be applied for having better performance in MSR researches. In this paper general Big Data approaches are used to overcome the Internet-scale repositories and GitHub as the largest collaborative development environment is selected to be analyzed.  Machine learning algorithm are applied on open source projects in GitHub to improve the process of task assignment in GitHub by recommending tasks and sources for the right developers and other similar cases.|Research Paper|reject|reject
MSR|2015|Automatically Prioritizing Pull Requests|erik van der veen,georgios gousios,andy zaidman|pull requests,recommendation,prioritisation,GitHub|In previous work, we observed that in the pull-based development model integrators face challenges with regard to prioritizing work in the face of multiple concurrent pull requests. We present the design and initial implementation of a prototype pull request prioritisation tool called PRioritizer. PRioritizer works like a priority inbox for pull requests, recommending the top 3 pull requests the project owner should focus on. An preliminary user study showed that PRioritizer provides functionality that GitHub is currently lacking, even though users needed more insight into how the priority ranking is established to make PRioritizer  really useful.|Research Paper|accept|accept
MSR|2015|Ramp-up Journey of New Hires: Do strategic practices of software companies influence productivity?|ayushi rastogi,suresh thummalapenta,thomas zimmermann,nachiappan nagappan,jacek czerwonka|Ramp-up Journey,New Hires,Productivity|Software companies regularly recruit skilled and talented employees to meet evolving business requirements. Although companies expect early contributions, new hires often take several weeks to reach the same productivity level as existing employees. We refer to this transition of new hires from novices to experts as ramp-up journey. There can be various factors such as lack of technical skills or lack of familiarity with the process that influence the ramp-up journey of new hires. The goal of our work is to identify those factors and study their influence on the ramp-up journey. We expect the results from this study to help identify the need of various types of assistance to new hires to ramp-up faster. As a first step towards our goal, this paper explores the impact of two strategic practices, namely distributed development and internship on the ramp-up journey of new hires. Our results show that, new hires in proximity to the core development team and new hires with prior internship experience perform better than others in the beginning. In the overall ramp-up journey, the effect of the two factors attenuate, yet nevertheless better compared to their counterparts. Product teams can use this information to pay special attention to non-interns and use better tools for distributed, cooperative work to help new hires ramp-up faster.|Research Paper|reject|reject
MSR|2015|Retrieving Diverse Opinions from Software Reviews|emitza guzman,omar aly,bernd brugge|mining user reviews,diversity retrieval,sentiment analysis|Users can have conflicting opinions and different experiences when using software and user reviews serve as a channel in which users can document their opinions and experiences. To develop and evolve software that is usable and relevant for a diverse group of users, different opinions and experiences need to be taken into account. In this paper we present DIVERSE, a feature and sentiment centric retrieval approach which automatically provides developers with a diverse sample of user reviews that is representative of the different opinions and experiences mentioned in the whole set of reviews. We evaluated the diversity retrieval performance of our approach on reviews from seven apps from two different app stores. We compared the reviews retrieved by DIVERSE with random and feature-based retrieval approaches and found that DIVERSE outperforms both with a statistical significant difference. Additionally, a controlled experiment revealed that DIVERSE can help developers save time when analyzing user reviews and was considered useful for detecting conflicting opinions and software evolution.|Research Paper|reject|reject
MSR|2015|On the Identification of Duplicates in Q&A Sites|mathias ellmann,walid maalej|data mining,text mining,stack overflow,knowledge sharing,software development|Stack overflow is one of the most popular online communities to ask and answer developer questions. Every day about 3700 questions are posted on this Q&A site. Two percent of these questions are manually identified as duplicates, i.e. questions which have been posted, discussed, and answered previously at least in part. A tool support for the duplicate identification might reduce the question answering time, allow to reuse knowledge from previous posts, and save time of active community members spent for the manual identification of duplicates. In this paper, we empirically study duplicates in stack overflow with the aim of getting insights into how to automatically identify them. We analyzed the structure, frequency, and topics of duplicates and compared them with the original posts and unique posts. We also analyzed the content of duplicates using text similarly algorithms. We found that about 20% of original posts have 2 or more (up to 558) duplicates. Original questions are significantly longer and include much more answers than duplicate questions. Some topics such as asp.net seem to be rarer in duplicates than in unique questions. On average, there is about 20% of syntactic (term) and 40% of semantic overlap between the text in the original and duplicate questions. Latent Semantic Indexing applied on questions and tags is able to correctly predict about 50% of the duplicates within a top 20 results.|Research Paper|reject|reject
MSR|2015|Query-Level Replication of Mining Studies Through User-Supported Ontology Matching|thomas kowark,keven richly,ralf teusner,matthias uflacker,hasso plattner|study replication,query formulation,ontology matching,analysis platform|The replication of studies in mining software repositories (MSR) on datasets stemming from different projects is crucial for assessing the general validity of the gathered findings. In order to replicate a specific study, it is either necessary to import a new dataset into the originally used tool or to rewrite the queries of the initial experiment in a different tool. The former requires considerable programming efforts to provide data import capabilities for the abundance of available project support tools. The latter is equally labour-intensive, as no commonly accepted data format for storing software repository data is available and, hence, each query requires manual translation. In this paper, we present how the semi-automatic ontology matching concept of the RepMine system simplifies the query translation between different representations of software repository data. Our system constructs ontologies that describe the data schemas of the different mining tools. Based on these ontologies, the corresponding queries issued within the respective tools are expressed using a graph-based abstraction. These graphs are transformed by means of automatic ontology matching tools, as well as manual user input in order to reflect conceptually identical queries on different datasets. Through this approach, we are able to overcome a vast majority of the different impediments for replication that potentially emerge when using state-of-the-art mining systems. Furthermore, we present a step-by-step replication of an exemplary mining study to showcase that our approach reduces the required manual labour in comparison to a replication using current tools. We conclude by outlining how an implementation of RepMine as a shared platform for the MSR community could not only reduce individual efforts but distribute work and benefits across all of its users.|Research Paper|reject|reject
MSR|2015|Extracting Facts from Performance Tuning History of Scientific Applications for Predicting Effective Optimization Patterns|masatomo hashimoto,masaaki terai,toshiyuki maeda,kazuo minami|performance tuning of scientific applications,change pattern identification,tuning pattern prediction,fine-grained source code differencing|To improve performance of large-scale scientific applications, scientists or tuning experts make various empirical attempts such as changing compiler options and transforming the programs without changing the semantics.  Those attempts followed by performance evaluations are repeated until satisfactory results are attained.  The task of performance tuning requires a great deal of time and effort.  On account of combinatorial explosion of possible attempts, scientists/tuning experts have a tendency to make decisions on what to be explored based on their intuition or good sense of tuning.  We advocate evidence-based performance tuning (EBT) that facilitates the use of database of facts extracted from tuning histories of applications and makes it available to decision makers.  However, in general, tuning histories do not explicitly contain facts about what kind of program transformation contributed to the better performance.  For reconstructing missing information, we employ a state-of-the-art fine-grained change pattern identification tool for inferring applied transformation patterns only from a set of source code variants.  Once required facts are extracted, they are stored and queried for further data mining to predict effective tuning patterns for given source code.  This paper reports on an experiment of tuning pattern identification followed by constructing prediction models conducted for a few scientific applications tuned for the K computer.|Practice Paper|accept|accept
MSR|2015|Expert Finding in Q&A Social Networks for Bug Triaging|ali sajedi badashian,abram hindle,eleni stroulia|Bug triaging,Bug assignment,Mining Software Repositories,Expertise retrieval|Expert finding is the process of finding appropriate people. One of the applications to expert finding is bug triaging and assignment in which a list of developers should be ranked for working on a bug report. Developers in this ranked list, then, will be picked up for fixing the bug by the project manager. While in previous methods just the contents of the bugs and developers’ prior activities are examined, we look for additional source of expertise to find the evidences of expertise of developers and apply it in assigning developers to the bugs. Our novel inter-network model ranks the potential triagers of a coding platform based on their expertise as inferred from their work in Q&A software platforms as well as prior bug fixing activities. Specifically, we considered the contributions of the users in Stack Overflow –a Q&A web site– and apply the results to assign bugs to developers in GitHub –a code repository. We assessed the approach in an experiment on 7144 bug reports in top 20 projects of \gh~. We also presented the Mean Reciprocal Rank (MRR) evaluation measure and reported the results based on MRR as well as the traditional top-k recommendations. Then we compared the accuracy of our approach with the accuracies of the previous works. Considering both evaluation metrics, our approach outperforms other state-of-the-art works.|Research Paper|reject|reject
MSR|2015|Will they like this? Evaluating Code Contributions With Language Models|vincent hellendoorn,premkumar t. devanbu,alberto bacchelli|code review,language models,pull request,OSS,github|Popular open-source software projects receive and review contributions from a diverse array of developers, many of whom have little to no prior involvement with the project. A recent survey reported that reviewers consider conformance to the project's code style to be one of the top priorities when evaluating code contributions on Github. We propose to quantitatively evaluate the existence and effects of this phenomenon. To this aim we use language models, which were shown to accurately capture stylistic aspects of code. We find that rejected changesets do contain code significantly less similar to the project than accepted ones; furthermore, the less similar changesets are more likely to be subject to thorough review. Armed with these results we further investigate whether new contributors learn to conform to the project style and find that experience is positively correlated with conformance to the project's code style.|Research Paper|accept|accept
MSR|2015|Investigating Code Review Practices in Defective Files: An Empirical Study of the Qt System|patanamon thongtanunam,shane mcintosh,ahmed e. hassan,hajimu iida|Code Review,Software Quality,Open Source Software|Software code review is a well-established software quality practice. Recently, Modern Code Review (MCR) has been widely adopted in both open source and industrial projects. To evaluate the impact that characteristics of MCR practices have on software quality, this paper comparatively studies MCR practices in defective and clean source code files. We investigate defective files along two perspectives: 1) files that will eventually have defects (i.e., future-defective files) and 2) files that have historically been defective (i.e., risky files). Through an empirical study of 11,736 reviews of changes to 24,486 files from the Qt open source system, we find that both future-defective files and risky files tend to be reviewed less rigorously than their clean counterparts. We also find that the concerns addressed during the code reviews of both defective and clean files tend to enhance evolvability, i.e., ease future maintenance (like documentation), rather than focus on functional issues (like incorrect program logic). Our findings suggest that although functionality concerns are rarely addressed during code review, the rigor of the reviewing process that is applied to a source code file throughout a development cycle shares a link with its defect proneness.|Research Paper|accept|accept
MSR|2015|Mining Software Repositories to Enable License Compliance Analysis and Verification|christopher vendome,denys poshyvanyk|Software Licensing,Software Provenance,Mining Software Repositories|Software license compliance presents a difficult, yet serious problem for developers. While software licensing aims to facilitate the freedom to reuse, to distribute, and to modify software artifacts, the licenses impose different legal restrictions. These differences and constraints may lead to incompatibility issues between certain licenses, which means for developers that certain systems or components cannot be used together. To further complicate compliance, both licensing of a system may change during evolution and licenses themselves can be updated into a new version. We propose an approach for mining licensing information from both source code and byte-code to ensure license compliance of all components and licenses within a system. First, we establish provenance of the binary components of a system in order to identify their license(s) since they would be lost during compilation. Subsequently, we identify the licenses of both binaries linked to source code and the original source code of the system. The compliance engine analyzes not only the component-license pairs, but it also considers the way in which the code was integrated into a given system. If a potential license incompatibility is identified, the approach aims to provide a feedback by analyzing both the architecture of the system and functional clones so that the developer can more easily remedy the license incompatibility issues.|Research Paper|reject|reject
MSR|2015|Don't Multitask! The Role of Developer's Confusion in Defect Prediction|dario di nucci,fabio palomba,sandro siravo,gabriele bavota,rocco oliveto,andrea de lucia|Defect Prediction,Confusion metrics,Software Complexity|The complexity of software systems has grown exponentially in the last years, pushing developers to face more challenging tasks during evolution and maintenance activities. The developers’ ability to cope with a task might be hindered when it impacts several software components possibly spread across different subsystems. In this paper, we propose two measures capturing the structural and semantic distance between the components a developer is working on in a given time period. We call these measures structural and semantic confusion and we hypothesize that they have an impact on the likelihood of introducing defects during code change activities. To validate our conjecture, we use the deﬁned measures to build a bug prediction model. We evaluated our model on ﬁve open source systems and compared it with two competitive techniques: the ﬁrst is a prediction model exploiting the number of developers working on code component in a given time period as predictor variable while the second is the Basic Code Change Model proposed by Hassan and using code change entropy information. The achieved results show the superiority of our model with respect to the two competitive approaches, and the orthogonality of the deﬁned confusion measures with respect to standard predictors commonly used in the literature.|Research Paper|reject|reject
MSR|2015|Does Sentiment Influence Code Review Activity? A Method to Analyze Sentiment and its Effects|taufan h. ardhinata,amiangshu bosu,barbara russo,jeffrey carver|Peer Code Review,Sentiment Analysis,Text mining|While, the sentiment (i.e. general positive or negative tone) of the conversation between two people can influence the quality of their relationship, it is not clear whether that sentiment is related with the outcome of professional activities, like peer code review. This paper presents a method for mining code repositories to gain a better understanding of the relationship between sentiment and code review outcomes. Using a dictionary customized for the peer code review domain, we mined the repositories of three Open Source project to determine the sentiment in the conversations between developers. We then correlated that sentiment to number of mutual reviews, review time, and acceptance rate. Our findings show that negative sentiment increases time to review and reduces acceptance rate of code review requests.|Research Paper|reject|reject
MSR|2015|Recommending Posts Concerning API Issues in Developer Q&A Sites|wei wang,haroon malik,michael w. godfrey|application program interfaces,software ecosystems,online Q&A|API design is known to be a challenging craft, as API designers must balance their elegant ideals against “real-world” concerns, such as utility, performance, backwards compatibility, and unforeseen emergent uses.  However, to date, there is no principled method to collect or analyze API usability information that incorporates input from typical developers. In practice, developers often turn to Q&A websites such as stackoverflow.com (SO) when seeking expert advice on API use; the popularity of such sites has thus led to a very large volume of unstructured information that can be searched with diligence for answers to specific questions. The collected wisdom within such sites could, in principle, be of great help to API designers to better support developer needs, if only it could be collected, analyzed, and distilled for practical use. In this paper, we present a methodology that combines several techniques, including social network analysis and topic mining, to recommend SO posts that are likely to concern API design-related issues.  To establish a comparison baseline, we introduce two more recommendation approaches: a reputation-based recommender and a random recommender.  We have found that when applied to Q&A discussion of two popular mobile platforms, Android and iOS, our approach achieves up to 93 % accuracy and is more stable with its recommendations when compared to the two baseline techniques.|Research Paper|accept|accept
MSR|2015|Are Bullies more Productive? Empirical Study of Affectiveness vs. Issue Fixing Time|marco ortu,bram adams,giuseppe destefanis,parastou tourani,michele marchesi,roberto tonelli|Minig software repository,affective analysis,software productivity|Human Affectiveness, i.e., the emotional state of a person, plays a crucial role in many domains where they can make or break a team’s ability to produce successful products. Software development is a collaborative activity as well, yet there is little information on how affectiveness impacts software productivity. In order to measure this impact, this paper analyzes the sentiment, emotions and politeness of developers in more than 500K comments posted in the Apache projects' JIRA Issue Tracking System. We found that the more positive developers are (expressing positive emotions such as JOY and LOVE in their comments),  the shorter the issue fixing time is likely to be. Contrarily, negative emotions such as SADNESS, have a negative impact on the issue fixing time. Politeness plays a more complex role and we empirically analyze its impact on developers' productivity.|Research Paper|accept|accept
MSR|2015|Are These Bugs Really “Normal”?|ripon saha,julia l. lawall,sarfraz khurshid,dewayne e perry|Bug Severity,Bug Tracking System,Mining Software Repository|Understanding the severity of reported bugs is important in both research and practice. In particular, a number of recently proposed mining-based software engineering techniques predict bug severity, bug report quality, and bug-fix time, according to this information.  Many bug tracking systems provide a field "severity" offering options such as "severe", "normal", and "minor", with "normal" as the default.  However, there is a widespread perception that for many bug reports the label "normal" may not reflect the actual severity, because reporters may overlook setting the severity or may not feel confident enough to do so.  In many cases, researchers ignore "normal" bug reports, and thus overlook a large percentage of the reports provided. On the other hand, treating them all together risks mixing reports that have very diverse properties.  In this study, we investigate the extent to which "normal" bug reports actually have the "normal" severity. We find that many Normal bug reports in practice are not normal. Furthermore, this misclassification can have a significant impact on the accuracy of mining-based tools and studies that rely on bug report severity information.|Research Paper|accept|accept
MSR|2015|Do Onboarding Programs Work?|adriaan labuschagne,reid holmes|onboarding,OSS,mentorship|Open source software systems rely on community source code contributions to fix bugs and develop new features. Unfortunately, it is often difficult to become an effective contributor on open-source projects, because of the complexity of the tools required to develop and test new patches, and the challenge of breaking into an already-formed social organization. To help new contributors learn their development practices, OSS projects have created onboarding programs that, for example, identify easy ‘first bugs’ and mentor new developers’ contributions. However, we found that developers who join an organization through these programs are about 50% less likely to transition into long-term community members than developers who do not use these programs. Measuring the impact of these programs is important, as coordinating and staffing onboarding projects is expensive; this paper demonstrates that onboarding programs are not as effective at transitioning new developers into long-term contributors as might be hoped, although developers who do succeed through these programs find them valuable.|Research Paper|accept|accept
MSR|2015|Mining Component Repositories for Installability Issues|pietro abate,roberto di cosmo,louis gesbert,fabrice le fessant,ralf treinen,stefano zacchiroli|software components,software packages,installability,dependency solving,quality assurance,component repositories|Component repositories play an increasingly relevant role in software life-cycle management, from software distribution to end-user, to deployment and upgrade management. Software components shipped via such repositories are equipped with rich metadata that describe their relationship (e.g., dependencies and conflicts) with other components. In this practice paper we show how to use a tool, distcheck, that uses component metadata to identify all the components in a repository that cannot be installed (e.g., due to unsatisfiable dependencies), provides detailed information to help developers understanding the cause of the problem, and fix it in the repository. We report about detailed analyses of several repositories: the Debian distribution, the OPAM package collection, and Drupal modules. In each case, Distcheck is able to efficiently identify not installable components and provide valuable explanations of the issues. Our experience provides solid ground for generalizing the use of distcheck to other component repositories.|Practice Paper|accept|accept
MSR|2015|Exploring the Interaction between Stemmers and Text Models for IR Based Bug Localization|wen yi,shivani rao,avinash c. kak|Stemming,Latent Semantic Indexing,Unigram,Vector Space Model,Bug Localization,Information Retrieval,Software Engineering|Stemming algorithms are important to the operation of information retrieval algorithms that are used in IR-based bug localization frameworks. The general practice among researchers and others is to use one of the well-known stemming algorithms without paying much attention to its appropriateness to how the retrieval is carried out. In this paper we argue that there exists a “tension” between stemmers, on the one hand, and the text models used for making retrievals, on the other. Whereas the purpose of a stemming algorithm is to generalize the meaning of the words retained in a model by reducing their variants to common roots, the purpose of a text model is to exploit the discriminatory power of the words in order to make the documents distinguishable. Therefore, it is unrealistic to assume that the same stemming algorithm would work equally well for all different text models. This is borne out by our experiments. Our work demonstrates that, for any given text model, not all well-known stemmers lead to improved retrieval accuracy. Furthermore, for each text model, there is likely to be a particular stemmer that works the best. Our experimental investigations are based on the following five stemmers: KStem, MStem, Paice, Porter, and Snowball. The text models we have used are Unigram, VSM, and LSI. Our quantitative results are based on AspectJ and JodaTime libraries.|Research Paper|reject|reject
MSR|2015|Do Bugs Foreshadow Vulnerabilities? A Study of the Chromium Project|felivel camilo,andrew meneely,meiyappan nagappan|bugs,vulnerabilities,mining,chromium|As developers face ever-increasing pressure to engineer secure software, researchers are building an understanding of security-sensitive bugs (i.e. vulnerabilities). Research into mining software repositories has greatly increased our understanding of software quality via empirical study of bugs. However, conceptually vulnerabilities are different from bugs: they represent abusive functionality as opposed to wrong or insufficient functionality commonly associated with traditional, non-security bugs. In this study, we performed an in-depth analysis of the Chromium project to empirically examine the relationship between bugs and vulnerabilities. We mined 374,686 bugs and 703 post-release vulnerabilities over five Chromium releases that span six years of development. Using logistic regression analysis, we examined how various categories of pre-release bugs (e.g. stability, compatibility, etc.) are associated with post-release vulnerabilities. While we found statistically significant correlations between pre-release bugs and post-release vulnerabilities, we also found the association to be weak. Number of features, SLOC, and number of pre-release security bugs are, in general, more closely associated with post-release vulnerabilities than any of our non-security bug categories. In a separate analysis, we found that the files with highest defect density did not intersect with the files of highest vulnerability density. These results indicate that bugs and vulnerabilities are empirically dissimilar groups, warranting the need for more research targeting vulnerabilities specifically.|Research Paper|accept|accept
MSR|2015|An Empirical Study of Highly-Distributed Bugs in Mozilla Projects|le an,foutse khomh|bug triaging,entropy analysis,crash report,prediction model,mining software repositories|Bug triaging is the process that consists in screening and prioritising bugs to allow a software organisation to focus its limited resources on bugs with high impact on software quality. In a previous work, we proposed an entropy-based crash triaging approach that can help software organisations identify crash-types that affect a large user base with high frequency. We refer to bugs associated to these crash-types as highly-distributed bugs. The proposed triaging approach can identify highly-distributed bugs only after they have led to crashes in the field for a certain period of time. Therefore, to reduce the impact of highly-distributed bugs on user perceived quality, an early identification of these bugs is necessary. In this paper, we examine the characteristics of highly-distributed bugs in Mozilla Firefox and Fennec for Android, and propose statistical models to help software organisations predict them early before they impact a large population of users. Results show that our proposed prediction models can achieve a precision up to 69.8% as well as a recall up to 95.5%. We also evaluate the benefits of our proposed models and found that, on average, they could help reduce 23.1% of crashes for Firefox and 13.2% for Fennec for Android while reducing 29.5% of impacted machine profiles for Firefox and 49.8% for Fennec for Android. Software organisations could use our prediction models to catch highly-distributed bugs early during the triaging process, preventing them from impacting a larger user base.|Research Paper|reject|reject
MSR|2015|Towards Automatic Recommendation of Tests for Continuous Integration|linlin wang,eric knauss,agneta nilsson|Continuous integration,test case selection,test case prioritization|Continuous integration promises advantages by enabling software developing organizations to deliver new functions faster. However, implementing continuous integration, especially in large software development organisations, is challenging because of organizational, social, and technical reasons. One of the technical challenges is the ability to rapidly prioritise the test cases which can be executed quickly and trigger the most failures as early as possible. In this paper, we propose an automatic recommender based on mining correlations between test-case failures and source code changes. Based on experiences from this ongoing work, we discuss data needs, experimental setup, as well as challenges and opportunities that arise from this highly dynamic problem field.|Research Paper|reject|reject
MSR|2015|The Uniqueness of Changes: Characteristics and Applications|baishakhi ray,meiyappan nagappan,christian bird,nachiappan nagappan,thomas zimmermann|software evolution,repetitive changes,code clones,recommendation system|Changes in software development come in many forms.  Some changes are frequent, idiomatic, or repetitive (e.g. adding checks for nulls or logging important values) while others are unique.  We hypothesize that unique changes are different from the more common similar (or non-unique) changes in important ways; they may require more expertise or represent code that is more complex or prone to mistakes.  As such, these changes are worthy of study.  In this paper, we present a definition of unique changes and provide a method for identifying them in software project history. Based on the results of applying our technique on the Linux kernel and two large projects at Microsoft, we present an empirical study of unique changes. We explore how prevalent unique changes are and investigate where they occur along the architecture of the project. We further investigate developers' contribution towards uniqueness of changes. We also describe potential applications of leveraging the uniqueness of change and implement two such applications, evaluating the risk of changes based on uniqueness and providing change recommendations for non-unique changes.|Research Paper|reject|reject
MSR|2015|How do Open Source Programmers Choose Parent Classes?|yossi gil,sabih agbaria|Number of children,Object oriented programming,Preferential attachment,Power law,Long tail|Abstract Previous research repeatedly discovered a power-law distribution (or more generally, long-tail distributions) of object-oriented soft- ware metrics. The classical process of preferential attachment was proposed as a possible explanation. This empirical study focuses on the NOC (Number of Children) object-oriented software metric: By retrospection on the history of development of 16 moderately sized open-source JAVA software artifacts, we try to assess the hypothe- sis underlying preferential attachment, namely that the number of existing children a class already has, determines the probability it is selected as a parent again. We were able to establish partial empirical support for this hypothesis. We also show that other properties of the class, such as the number of methods it has, do not make a good predictor of the number of children. It is shown that the number of changes that a class suffered and the recency of these changes make good predictors of the probability that the class is selected as base class. This finding may suggest insights into the evolution of the extendability property of classes.|Research Paper|reject|reject
MSR|2015|Examining the Relationship between Security Ratings and User Ratings of Mobile Apps: A Case Study|daniel krutz,meiyappan nagappan,andrew meneely|Mobile Development,User Ratings,Software Engineering|The life or death of a mobile application (`app') is determined largely by user ratings. Users expect apps to continually provide new features while maintaining quality, or the ratings drop. However, apps must also be secure. A focus on features can lead to security tests slipping. But is this trade-off historically true? Or are app store ratings a more all-encompassing measure of product maturity? We collected and compared 798 random Android apps from the GooglePlay store with a user rating of less than 2.99 against 861 apps with a user rating of 3 or greater. Combining our evidence collected from the results of our experiments, we conclude that, historically, user ratings and potential security risks are not mutually exclusive and do not trade off.|Research Paper|reject|reject
MSR|2015|Differentiated Roles in Open Source Development: A Case Study of Interconnected Projects in GitHub|patrick wagstrom,corey jergensen,anita sarma|Roles,Open Source Development,Interconnected Projects,GitHub|Complex software development rarely occurs in isolation. In addi-tion to functional and technical dependencies, developers often follow and participate in different roles in a variety of different projects. The exchange of technical and social knowledge through these developers results in the creation of a loosely federated community of projects. Within these communities developers are able to leverage lessons learned across projects. Prior to the rise and centralization of software development around GitHub, it was difficulty to understand these relationships. Now, thanks to robust APIs and publicly available data sets, users and researchers can examine these  relationships across thousands of users and projects. In this paper, we examine a sub-community of projects from GitHub to understand how projects are linked together by developer interests and the overlap of roles among users associated with these projects. We utilize the rich traceability afforded by GitHub to expand the traditional open source development roles and provide a finer grained understanding of the relationships within the user community. We then investigate the characteristics of this community by analyzing the distribution of different development roles within and across projects. We find that developers often contribute to projects in a wide variety of roles and that although there is some preference for particular programing languages and environments, many developers actively contribute and write code for projects in multiple different languages|Research Paper|reject|reject
